Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jasml-0.10-master,,jasml,0,45,0.0,186,186,No
jasml-0.10-master,com.jasml.compiler,ConstantPoolGenerator,0,36,0.0,262,224,No
jasml-0.10-master,com.jasml.compiler,GrammerException,1,0,0.0,14,154,No
jasml-0.10-master,com.jasml.compiler,JavaClassDumpper,0,33,0.0,205,166,No
jasml-0.10-master,com.jasml.compiler,ParsingException,0,5,0.0,44,142,No
jasml-0.10-master,com.jasml.compiler,Scannable,0,0,0.0,29,123,No
jasml-0.10-master,com.jasml.compiler,Scanner,2,103,0.0,494,176,No
jasml-0.10-master,com.jasml.compiler,SourceCodeParser,5,223,0.0,1206,305,Yes
jasml-0.10-master,testpackage,SimpleClass,0,0,0.0,23,273,No
jasml-0.10-master,com.jasml.classes,Attribute,1,0,0.0,17,248,No
jasml-0.10-master,com.jasml.classes,Attribute_Code,2,0,0.0,49,229,No
jasml-0.10-master,com.jasml.classes,Attribute_ConstantValue,2,0,0.0,7,211,No
jasml-0.10-master,com.jasml.classes,Attribute_Deprecated,2,0,0.0,5,195,No
jasml-0.10-master,com.jasml.classes,Attribute_Exceptions,2,0,0.0,9,182,No
jasml-0.10-master,com.jasml.classes,Attribute_InnerClasses,2,0,0.0,21,171,No
jasml-0.10-master,com.jasml.classes,Attribute_LineNumberTable,2,0,0.0,17,161,No
jasml-0.10-master,com.jasml.classes,Attribute_LocalVariableTable,2,0,0.0,23,153,No
jasml-0.10-master,com.jasml.classes,Attribute_SourceFile,2,0,0.0,7,145,No
jasml-0.10-master,com.jasml.classes,Attribute_Synthetic,2,0,0.0,5,138,No
jasml-0.10-master,com.jasml.classes,ConstantPool,3,4,0.0,28,132,No
jasml-0.10-master,com.jasml.classes,ConstantPoolItem,2,0,0.0,8,126,No
jasml-0.10-master,com.jasml.classes,Constants,2,39,0.0,872,160,No
jasml-0.10-master,com.jasml.classes,Constant_Class,3,0,0.0,10,153,No
jasml-0.10-master,com.jasml.classes,Constant_Double,3,0,0.0,10,147,No
jasml-0.10-master,com.jasml.classes,Constant_Fieldref,4,0,0.0,12,142,No
jasml-0.10-master,com.jasml.classes,Constant_Float,3,0,0.0,10,137,No
jasml-0.10-master,com.jasml.classes,Constant_Integer,3,0,0.0,10,132,No
jasml-0.10-master,com.jasml.classes,Constant_InterfaceMethodref,4,0,0.0,12,128,No
jasml-0.10-master,com.jasml.classes,Constant_Long,3,0,0.0,13,124,No
jasml-0.10-master,com.jasml.classes,Constant_Methodref,4,0,0.0,12,120,No
jasml-0.10-master,com.jasml.classes,Constant_NameAndType,3,0,0.0,12,117,No
jasml-0.10-master,com.jasml.classes,Constant_String,3,0,0.0,10,113,No
jasml-0.10-master,com.jasml.classes,Constant_Utf8,3,0,0.0,10,110,No
jasml-0.10-master,com.jasml.classes,Field,1,0,0.0,14,107,No
jasml-0.10-master,com.jasml.classes,JavaClass,4,0,0.0,18,105,No
jasml-0.10-master,com.jasml.classes,Method,1,0,0.0,14,102,No
jasml-0.10-master,com.jasml.helper,IntegerArray,0,1,0.0,26,100,No
jasml-0.10-master,com.jasml.helper,OpcodeHelper,2,3,0.0,29,98,No
jasml-0.10-master,com.jasml.helper,OpcodeInfo,0,0,0.0,16,96,No
jasml-0.10-master,com.jasml.helper,OpcodeLoader,1,39,0.0,164,98,No
jasml-0.10-master,com.jasml.helper,Util,0,233,0.0,573,109,No
jasml-0.10-master,com.jasml.decompiler,JavaClassParser,0,69,0.0,431,117,No
jasml-0.10-master,com.jasml.decompiler,SourceCodeBuilder,1,116,0.0,639,129,No
jasml-0.10-master,com.jasml.decompiler,SourceCodeBuilderConfiguration,1,0,0.0,17,127,No
