Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,AbstractExhaustiveIsomorphismInspector,4,17,0.0,182,182,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,AdaptiveIsomorphismInspectorFactory,3,7,0.0,120,151,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,EquivalenceIsomorphismInspector,1,9,0.0,129,143,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,GraphIsomorphismInspector,0,0,0.0,5,109,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,GraphOrdering,0,6,0.0,96,106,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,IsomorphismRelation,0,3,0.0,61,98,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,PermutationIsomorphismInspector,1,3,0.0,46,91,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,VertexDegreeEquivalenceComparator,0,3,0.0,65,88,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,EdgeTopologyCompare,1,0,0.0,12,79,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,IntegerVertexFactory,0,0,0.0,18,73,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism,IsomorphismInspectorTest,4,22,0.0,453,107,No
jgrapht-0.8.1,org.jgrapht.experimental.dag,DirectedAcyclicGraph,0,47,0.0,593,148,No
jgrapht-0.8.1,org.jgrapht.experimental.dag,DirectedAcyclicGraphTest,1,38,0.0,391,167,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism.comparators,DirectedEdgeWeightOddEvenComparator,0,0,0.0,27,157,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism.comparators,Mod3GroupComparator,0,0,0.0,20,147,No
jgrapht-0.8.1,org.jgrapht.experimental.isomorphism.comparators,OddEvenGroupComparator,0,0,0.0,20,139,No
jgrapht-0.8.1,org.jgrapht.experimental,GraphReader,0,8,0.0,91,137,No
jgrapht-0.8.1,org.jgrapht.experimental,GraphSquare,0,7,0.0,104,135,No
jgrapht-0.8.1,org.jgrapht.experimental,GraphTests,0,13,0.0,91,132,No
jgrapht-0.8.1,org.jgrapht.experimental,PartiteRandomGraphGenerator,1,10,0.0,67,129,No
jgrapht-0.8.1,org.jgrapht.experimental,RandomGraphHelper,1,3,0.0,41,125,No
jgrapht-0.8.1,org.jgrapht.experimental,UniformRandomGraphGenerator,1,4,0.0,35,121,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,ArrayPermutationsIter,0,0,0.0,5,116,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,2,5,0.0,77,114,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,CompoundPermutationIter,2,12,0.0,123,114,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,IntegerPermutationIter,1,19,0.0,150,116,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,PermutationFactory,3,0,0.0,16,112,No
jgrapht-0.8.1,org.jgrapht.experimental.permutation,CompoundPermutationIterTest,1,4,0.0,51,110,No
jgrapht-0.8.1,org.jgrapht.ext,DOTExporter,3,8,0.0,68,108,No
jgrapht-0.8.1,org.jgrapht.ext,EdgeNameProvider,1,0,0.0,4,105,No
jgrapht-0.8.1,org.jgrapht.ext,GmlExporter,4,8,0.0,133,106,No
jgrapht-0.8.1,org.jgrapht.ext,GraphMLExporter,4,8,0.0,142,107,No
jgrapht-0.8.1,org.jgrapht.ext,IntegerEdgeNameProvider,2,1,0.0,20,104,No
jgrapht-0.8.1,org.jgrapht.ext,IntegerNameProvider,1,1,0.0,20,102,No
jgrapht-0.8.1,org.jgrapht.ext,JGraphModelAdapter,0,53,0.0,516,114,No
jgrapht-0.8.1,org.jgrapht.ext,MatrixExporter,2,21,0.0,128,114,No
jgrapht-0.8.1,org.jgrapht.ext,StringEdgeNameProvider,2,0,0.0,11,111,No
jgrapht-0.8.1,org.jgrapht.ext,StringNameProvider,1,0,0.0,11,109,No
jgrapht-0.8.1,org.jgrapht.ext,VertexNameProvider,1,0,0.0,4,106,No
jgrapht-0.8.1,org.jgrapht.ext,VisioExporter,2,2,0.0,48,104,No
jgrapht-0.8.1,org.jgrapht.ext,DOTExporterTest,2,2,0.0,68,103,No
jgrapht-0.8.1,org.jgrapht.ext,GmlExporterTest,1,0,0.0,55,102,No
jgrapht-0.8.1,org.jgrapht.ext,GraphMLExporterTest,1,1,0.0,39,101,No
jgrapht-0.8.1,org.jgrapht.ext,MatrixExporterTest,1,0,0.0,79,100,No
jgrapht-0.8.1,org.jgrapht.util,ArrayUnenforcedSet,0,0,0.0,38,99,No
jgrapht-0.8.1,org.jgrapht.util,FibonacciHeap,1,39,0.0,258,102,No
jgrapht-0.8.1,org.jgrapht.util,FibonacciHeapNode,1,10,0.0,64,102,No
jgrapht-0.8.1,org.jgrapht.util,MathUtil,0,1,0.0,11,100,No
