Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jparse-0.96,jparse,CompileContext,4,1,0.0,29,29,No
jparse-0.96,jparse,CompiledConstructor,2,23,0.0,87,58,No
jparse-0.96,jparse,CompiledMethod,2,34,0.0,135,83,No
jparse-0.96,jparse,CompiledType,5,64,0.0,356,151,No
jparse-0.96,jparse,ConstrAST,8,49,0.0,184,158,No
jparse-0.96,jparse,Constructor,2,1,0.0,7,133,No
jparse-0.96,jparse,FileAST,4,18,0.0,141,134,No
jparse-0.96,jparse,HasExceptions,1,0,0.0,3,117,No
jparse-0.96,jparse,JavaAST,5,5,0.0,69,112,No
jparse-0.96,jparse,JavaLexer,2,256,0.0,1776,278,No
jparse-0.96,jparse,JavaParser,11,920,0.0,5423,746,Yes
jparse-0.96,jparse,JavaTokenTypes,2,6,0.0,150,696,No
jparse-0.96,jparse,LineReader,0,23,0.0,129,653,No
jparse-0.96,jparse,MethAST,7,64,0.0,252,624,No
jparse-0.96,jparse,Method,2,1,0.0,13,583,No
jparse-0.96,jparse,ModifierAST,4,18,0.0,53,550,No
jparse-0.96,jparse,ParameterAST,5,3,0.0,29,519,No
jparse-0.96,jparse,SourceType,6,50,0.0,287,506,No
jparse-0.96,jparse,SymbolTable,5,25,0.0,157,488,No
jparse-0.96,jparse,Type,10,74,0.0,409,484,No
jparse-0.96,jparse,TypeAST,8,12,0.0,91,465,No
jparse-0.96,jparse,VarList,0,32,0.0,148,451,No
jparse-0.96,test,JavaCopy,1,2,0.0,24,432,No
jparse-0.96,test,JavaPrinter,1,782,0.0,4209,590,No
jparse-0.96,test,JavaPrinterTokenTypes,1,5,0.0,150,572,No
jparse-0.96,test,JavaType,1,5,0.0,39,551,No
jparse-0.96,test,JavaTyper,2,1576,0.0,7613,813,No
jparse-0.96,test,JavaTyperTokenTypes,2,5,0.0,150,789,No
jparse-0.96,jparse.stmt,AssertAST,2,1,0.0,37,763,No
jparse-0.96,jparse.stmt,BreakAST,1,6,0.0,27,739,No
jparse-0.96,jparse.stmt,CaseGroupAST,2,14,0.0,76,717,No
jparse-0.96,jparse.stmt,CatchAST,2,4,0.0,44,696,No
jparse-0.96,jparse.stmt,ClassAST,1,0,0.0,24,676,No
jparse-0.96,jparse.stmt,CompoundAST,1,10,0.0,61,658,No
jparse-0.96,jparse.stmt,ContinueAST,1,6,0.0,27,640,No
jparse-0.96,jparse.stmt,DeclarationAST,1,11,0.0,52,623,No
jparse-0.96,jparse.stmt,DoWhileAST,3,0,0.0,33,607,No
jparse-0.96,jparse.stmt,EmptyAST,1,0,0.0,15,592,No
jparse-0.96,jparse.stmt,ExpressionAST,1,0,0.0,25,577,No
jparse-0.96,jparse.stmt,ForAST,3,4,0.0,64,564,No
jparse-0.96,jparse.stmt,IfElseAST,2,14,0.0,58,552,No
jparse-0.96,jparse.stmt,LabelAST,1,0,0.0,24,540,No
jparse-0.96,jparse.stmt,ReturnAST,2,1,0.0,26,528,No
jparse-0.96,jparse.stmt,StatementAST,1,2,0.0,28,516,No
jparse-0.96,jparse.stmt,SwitchAST,4,8,0.0,65,506,No
jparse-0.96,jparse.stmt,SynchronizedAST,3,0,0.0,30,496,No
jparse-0.96,jparse.stmt,ThrowAST,2,0,0.0,23,486,No
jparse-0.96,jparse.stmt,TryAST,3,12,0.0,85,477,No
jparse-0.96,jparse.stmt,WhileAST,2,0,0.0,32,468,No
jparse-0.96,jparse.expr,ArithmeticAST,1,31,0.0,107,461,No
jparse-0.96,jparse.expr,ArrayInitAST,2,8,0.0,64,453,No
jparse-0.96,jparse.expr,AssignAST,1,1,0.0,36,445,No
jparse-0.96,jparse.expr,BitwiseAST,1,18,0.0,77,438,No
jparse-0.96,jparse.expr,BooleanAST,1,37,0.0,123,432,No
jparse-0.96,jparse.expr,BooleanLiteralAST,1,0,0.0,19,425,No
jparse-0.96,jparse.expr,CharLiteralAST,1,0,0.0,19,418,No
jparse-0.96,jparse.expr,ConditionalAST,1,17,0.0,60,411,No
jparse-0.96,jparse.expr,ExpressionAST,0,3,0.0,32,405,No
jparse-0.96,jparse.expr,FloatLiteralAST,1,0,0.0,28,398,No
jparse-0.96,jparse.expr,IdentifierAST,2,21,0.0,102,393,No
jparse-0.96,jparse.expr,IndexAST,1,0,0.0,33,388,No
jparse-0.96,jparse.expr,InitializerAST,1,0,0.0,25,382,No
jparse-0.96,jparse.expr,ListAST,1,9,0.0,67,377,No
jparse-0.96,jparse.expr,MethodCallAST,3,10,0.0,98,372,No
jparse-0.96,jparse.expr,NewAST,5,20,0.0,102,368,No
jparse-0.96,jparse.expr,NullLiteralAST,1,0,0.0,17,363,No
jparse-0.96,jparse.expr,NumLiteralAST,1,5,0.0,53,358,No
jparse-0.96,jparse.expr,ParenthesizedAST,1,0,0.0,27,353,No
jparse-0.96,jparse.expr,ShiftAST,1,6,0.0,55,349,No
jparse-0.96,jparse.expr,StringLiteralAST,1,0,0.0,19,344,No
jparse-0.96,jparse.expr,ThisLiteralAST,1,1,0.0,17,340,No
jparse-0.96,jparse.expr,TypeAST,1,1,0.0,23,335,No
jparse-0.96,jparse.expr,TypecastAST,2,6,0.0,52,331,No
jparse-0.96,jparse.expr,UnaryArithAST,1,4,0.0,46,327,No
jparse-0.96,jparse.expr,VarAST,3,9,0.0,82,324,No
