Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
com.jasml.compiler,ConstantPoolGenerator,6,25,31,Yes
com.jasml.compiler,Scannable,27,0,27,Yes
com.jasml.compiler,Scanner,10,38,48,Yes
com.jasml.classes,Constants,293,0,293,Yes
com.jasml.helper,Util,1,30,31,Yes
com.jasml.decompiler,SourceCodeBuilder,0,32,32,Yes
,jasml,9,10,19,No
com.jasml.compiler,GrammerException,0,4,4,No
com.jasml.compiler,JavaClassDumpper,0,1,1,No
com.jasml.compiler,ParsingException,0,6,6,No
com.jasml.compiler,SourceCodeParser,2,10,12,No
testpackage,SimpleClass,3,2,5,No
com.jasml.classes,Attribute,5,2,7,No
com.jasml.classes,Attribute_Code,15,4,19,No
com.jasml.classes,Attribute_ConstantValue,1,1,2,No
com.jasml.classes,Attribute_Deprecated,0,1,1,No
com.jasml.classes,Attribute_Exceptions,2,1,3,No
com.jasml.classes,Attribute_InnerClasses,6,2,8,No
com.jasml.classes,Attribute_LineNumberTable,4,2,6,No
com.jasml.classes,Attribute_LocalVariableTable,7,2,9,No
com.jasml.classes,Attribute_SourceFile,1,1,2,No
com.jasml.classes,Attribute_Synthetic,0,1,1,No
com.jasml.classes,ConstantPool,0,4,4,No
com.jasml.classes,ConstantPoolItem,2,1,3,No
com.jasml.classes,Constant_Class,1,2,3,No
com.jasml.classes,Constant_Double,1,2,3,No
com.jasml.classes,Constant_Fieldref,2,2,4,No
com.jasml.classes,Constant_Float,1,2,3,No
com.jasml.classes,Constant_Integer,1,2,3,No
com.jasml.classes,Constant_InterfaceMethodref,2,2,4,No
com.jasml.classes,Constant_Long,1,3,4,No
com.jasml.classes,Constant_Methodref,2,2,4,No
com.jasml.classes,Constant_NameAndType,2,2,4,No
com.jasml.classes,Constant_String,1,2,3,No
com.jasml.classes,Constant_Utf8,1,2,3,No
com.jasml.classes,Field,5,1,6,No
com.jasml.classes,JavaClass,16,0,16,No
com.jasml.classes,Method,5,1,6,No
com.jasml.helper,IntegerArray,4,3,7,No
com.jasml.helper,OpcodeHelper,2,2,4,No
com.jasml.helper,OpcodeInfo,14,0,14,No
com.jasml.helper,OpcodeLoader,0,3,3,No
com.jasml.decompiler,JavaClassParser,0,5,5,No
com.jasml.decompiler,SourceCodeBuilderConfiguration,7,2,9,No
