Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
com.hp.hpl.jena.ontology.impl,DAML_OILLegacyProfile,109,108,217,Yes
com.hp.hpl.jena.ontology.impl,DAML_OILProfile,108,108,216,Yes
com.hp.hpl.jena.ontology.impl,OntModelImpl,14,184,198,Yes
com.hp.hpl.jena.db.impl,DriverRDB,81,112,193,Yes
jena,schemagen,32,158,190,Yes
com.hp.hpl.jena.ontology.impl,OntResourceImpl,7,123,130,Yes
com.hp.hpl.jena.ontology.impl,OWLProfile,5,114,119,Yes
com.hp.hpl.jena.ontology.impl,RDFSProfile,44,72,116,Yes
com.hp.hpl.jena.vocabulary,DAML_OIL,57,57,114,Yes
com.hp.hpl.jena.xmloutput.impl,Unparser,21,89,110,Yes
com.hp.hpl.jena.assembler,JA,88,0,88,Yes
com.hp.hpl.jena.graph.impl,GraphMatcher,38,49,87,Yes
com.hp.hpl.jena.vocabulary,DCTerms,80,1,81,Yes
com.hp.hpl.jena.ontology,OntDocumentManager,25,56,81,Yes
com.hp.hpl.jena.vocabulary,OWL2,78,0,78,Yes
com.hp.hpl.jena.reasoner.rulesys,Rule,17,58,75,Yes
com.hp.hpl.jena.ontology.impl,OntPropertyImpl,2,72,74,Yes
com.hp.hpl.jena.xmloutput.impl,BaseXMLWriter,27,44,71,Yes
com.hp.hpl.jena.reasoner.rulesys.impl,RuleClauseCode,39,27,66,Yes
com.hp.hpl.jena.reasoner.rulesys,FBRuleInfGraph,17,49,66,Yes
com.hp.hpl.jena.rdf.model.impl,RDFListImpl,10,55,65,Yes
com.hp.hpl.jena.rdf.arp,ARPErrorNumbers,65,0,65,Yes
com.hp.hpl.jena.ontology.impl,OntClassImpl,2,63,65,Yes
com.hp.hpl.jena.ontology.impl,OWLLiteProfile,9,50,59,Yes
com.hp.hpl.jena.datatypes.xsd,XSDDatatype,44,14,58,Yes
com.hp.hpl.jena.rdf.model.impl,SeqImpl,1,57,58,Yes
com.hp.hpl.jena.vocabulary,OntEventsVocab,57,1,58,Yes
com.hp.hpl.jena.vocabulary,VCARD,52,1,53,Yes
com.hp.hpl.jena.ontology,OntModelSpec,30,22,52,Yes
com.hp.hpl.jena.vocabulary,OWL,46,1,47,Yes
com.hp.hpl.jena.ontology,OntTools,9,38,47,Yes
com.hp.hpl.jena.vocabulary,XSD,44,1,45,Yes
com.hp.hpl.jena.ontology.impl,OWLDLProfile,0,45,45,Yes
com.hp.hpl.jena.rdf.arp.impl,XMLHandler,11,34,45,Yes
com.hp.hpl.jena.db,GraphRDB,14,30,44,Yes
com.hp.hpl.jena.reasoner.rulesys.impl,LPBRuleEngine,12,32,44,Yes
com.hp.hpl.jena.reasoner.rulesys.impl,LPInterpreter,13,31,44,Yes
com.hp.hpl.jena.reasoner.rulesys,BasicForwardRuleInfGraph,9,35,44,Yes
com.hp.hpl.jena.reasoner.rulesys.impl,RETEEngine,16,26,42,Yes
com.hp.hpl.jena.rdf.model.impl,ModelCom,5,36,41,Yes
jena,rdfcat,12,29,41,Yes
