Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
org.junit.experimental.theories,DataPoint,0,0,0,No
org.junit.experimental.theories,DataPoints,0,0,0,No
org.junit.experimental.theories,FromDataPoints,0,0,0,No
org.junit.experimental.theories,ParameterSignature,1,14,15,No
org.junit.experimental.theories,ParametersSuppliedBy,0,0,0,No
org.junit.experimental.theories,ParameterSupplier,0,0,0,No
org.junit.experimental.theories,PotentialAssignment,1,7,8,No
org.junit.experimental.theories,Theory,0,0,0,No
org.junit.tests.running.classes.parent,ParentRunnerClassLoaderTest,1,3,4,No
org.junit.tests.running.classes.parent,TestWithClassRule,1,2,3,No
junit.tests.extensions,ActiveTestTest,0,6,6,No
junit.tests.extensions,AllTests,0,2,2,No
junit.tests.extensions,ExtensionTest,0,15,15,No
junit.tests.extensions,package-info,0,0,0,No
junit.tests.extensions,RepeatedTestTest,1,6,7,No
org.junit.internal.requests,ClassRequest,1,4,5,No
org.junit.internal.requests,FilterRequest,2,2,4,No
org.junit.internal.requests,MemoizingRequest,2,1,3,No
org.junit.internal.requests,OrderingRequest,2,2,4,No
org.junit.internal.requests,package-info,0,0,0,No
org.junit.internal.requests,SortingRequest,2,2,4,No
org.junit.tests.running.methods,AllMethodsTests,0,0,0,No
org.junit.tests.running.methods,ExpectedTest,0,8,8,No
org.junit.tests.running.methods,InheritedTestTest,0,4,4,No
org.junit.tests.running.core,AllCoreTests,0,0,0,No
org.junit.tests.running.core,CommandLineTest,4,8,12,No
org.junit.tests.running.core,JUnitCoreReturnsCorrectExitCodeTest,0,3,3,No
org.junit.tests.running.core,SystemExitTest,1,1,2,No
org.junit.samples.money,package-info,0,0,0,No
org.junit.tests.experimental.theories.runner,AllTheoriesRunnerTests,0,0,0,No
org.junit.tests.experimental.theories.runner,TheoriesPerformanceTest,2,2,4,No
org.junit.tests.experimental.theories.runner,TypeMatchingBetweenMultiDataPointsMethod,2,5,7,No
org.junit.tests.experimental.theories.runner,WhenNoParametersMatch,3,1,4,No
org.junit.tests.experimental.theories.runner,WithAutoGeneratedDataPoints,2,4,6,No
