Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,AbstractDateTime,0,34,0.0,194,194,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,IllegalDateTimeFieldException,1,0,0.0,1,97,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,XSDbase64Binary,1,2,0.0,25,73,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,XSDDatatype,4,36,0.0,259,119,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,XSDDateTime,3,41,0.0,154,126,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,XSDDuration,1,23,0.0,172,134,No
jena-2.6.3,com.hp.hpl.jena.datatypes.xsd,XSDhexBinary,1,2,0.0,25,118,No
jena-2.6.3,com.hp.hpl.jena.mem,ArrayBunch,3,16,0.0,85,114,No
jena-2.6.3,com.hp.hpl.jena.mem,BunchMap,2,0,0.0,9,102,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphMem,3,6,0.0,33,95,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphMemBase,3,4,0.0,36,90,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphMemBaseQueryHandler,2,0,0.0,20,84,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphMemBulkUpdateHandler,2,1,0.0,13,78,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphTripleStore,3,0,0.0,11,74,No
jena-2.6.3,com.hp.hpl.jena.mem,GraphTripleStoreBase,5,6,0.0,80,74,No
jena-2.6.3,com.hp.hpl.jena.mem,HashCommon,0,38,0.0,182,81,No
jena-2.6.3,com.hp.hpl.jena.mem,HashedBunchMap,3,8,0.0,63,80,No
jena-2.6.3,com.hp.hpl.jena.mem,HashedTripleBunch,3,13,0.0,67,79,No
jena-2.6.3,com.hp.hpl.jena.mem,MatchOrBind,0,0,0.0,45,77,No
jena-2.6.3,com.hp.hpl.jena.mem,MixedGraphMem,3,4,0.0,38,75,No
jena-2.6.3,com.hp.hpl.jena.mem,MixedGraphMemStore,2,19,0.0,136,78,No
jena-2.6.3,com.hp.hpl.jena.mem,NodeToTriplesMap,5,10,0.0,89,78,No
jena-2.6.3,com.hp.hpl.jena.mem,NodeToTriplesMapBase,4,7,0.0,60,78,No
jena-2.6.3,com.hp.hpl.jena.mem,ObjectIterator,0,6,0.0,37,76,No
jena-2.6.3,com.hp.hpl.jena.mem,SetBunch,3,6,0.0,43,75,No
jena-2.6.3,com.hp.hpl.jena.mem,SmallGraphMem,3,8,0.0,36,73,No
jena-2.6.3,com.hp.hpl.jena.mem,StoreTripleIterator,4,4,0.0,27,71,No
jena-2.6.3,com.hp.hpl.jena.mem,TrackingTripleIterator,0,0,0.0,9,69,No
jena-2.6.3,com.hp.hpl.jena.mem,TripleBunch,2,1,0.0,11,67,No
jena-2.6.3,com.hp.hpl.jena.mem,WrappedHashMap,2,0,0.0,16,65,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,AbsWantLiteralValueOrDescription,4,3,0.0,49,65,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,AbsXMLLiteral,3,31,0.0,184,69,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,Collection,5,3,0.0,50,68,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,DAMLCollection,4,0,0.0,18,66,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,Frame,4,11,0.0,102,67,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,FrameI,1,0,0.0,13,66,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,HasSubjectFrameI,2,1,0.0,4,64,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,InnerXMLLiteral,1,0,0.0,14,63,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,LookingForRDF,2,0,0.0,19,62,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,OuterXMLLiteral,4,1,0.0,16,61,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,RDFCollection,4,0,0.0,17,60,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,StartStateRDForDescription,3,3,0.0,26,59,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantDescription,4,15,0.0,84,59,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantEmpty,2,0,0.0,14,58,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantLiteralValueOrDescription,4,9,0.0,53,58,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantPropertyElement,12,103,0.0,337,64,Yes
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantsObjectFrameI,3,0,0.0,2,63,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantsObjectI,0,0,0.0,3,62,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantTopLevelDescription,3,0,0.0,22,61,No
jena-2.6.3,com.hp.hpl.jena.rdf.arp.states,WantTypedLiteral,5,1,0.0,27,60,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,AddOne,3,2,0.0,25,59,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,AssertDisjointPairs,3,4,0.0,23,59,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,BaseBuiltin,2,2,0.0,29,58,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,Bound,3,2,0.0,13,57,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,CountLiteralValues,3,5,0.0,31,57,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,Difference,3,6,0.0,33,56,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,Drop,3,5,0.0,32,56,No
jena-2.6.3,com.hp.hpl.jena.reasoner.rulesys.builtins,Equal,3,3,0.0,22,55,No
