Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jfreechart-1.0.19,,MouseHandlerFX,0,1,0.0,11,11,No
jfreechart-1.0.19,org.jfree.chart.util,AttrStringUtils,1,16,0.0,174,92,No
jfreechart-1.0.19,org.jfree.chart.util,CloneUtils,1,6,0.0,35,73,No
jfreechart-1.0.19,org.jfree.chart.util,DefaultShadowGenerator,2,15,0.0,147,91,No
jfreechart-1.0.19,org.jfree.chart.util,DirectionalGradientPaintTransformer,0,4,0.0,45,82,No
jfreechart-1.0.19,org.jfree.chart.util,ExportUtils,1,2,0.0,120,88,No
jfreechart-1.0.19,org.jfree.chart.util,HexNumberFormat,0,3,0.0,39,81,No
jfreechart-1.0.19,org.jfree.chart.util,HMSNumberFormat,0,0,0.0,27,74,No
jfreechart-1.0.19,org.jfree.chart.util,LineUtilities,1,12,0.0,84,75,No
jfreechart-1.0.19,org.jfree.chart.util,LogFormat,1,10,0.0,89,77,No
jfreechart-1.0.19,org.jfree.chart.util,PaintAlpha,0,17,0.0,103,79,No
jfreechart-1.0.19,org.jfree.chart.util,ParamChecks,0,2,0.0,13,73,No
jfreechart-1.0.19,org.jfree.chart.util,RelativeDateFormat,1,20,0.0,219,85,No
jfreechart-1.0.19,org.jfree.chart.util,ResourceBundleWrapper,0,6,0.0,39,81,No
jfreechart-1.0.19,org.jfree.chart.util,ShadowGenerator,0,0,0.0,5,76,No
jfreechart-1.0.19,org.jfree.chart.util,TextUtils,1,15,0.0,114,79,No
jfreechart-1.0.19,org.jfree.chart.util,XYCoordinateType,0,6,0.0,39,76,No
jfreechart-1.0.19,org.jfree.chart.util,HMSNumberFormatTest,1,0,0.0,12,73,No
jfreechart-1.0.19,org.jfree.chart.util,LineUtilitiesTest,1,4,0.0,56,72,No
jfreechart-1.0.19,org.jfree.chart.util,LogFormatTest,1,0,0.0,44,70,No
jfreechart-1.0.19,org.jfree.chart.util,RelativeDateFormatTest,1,0,0.0,114,72,No
jfreechart-1.0.19,org.jfree.chart.fx,ChartCanvas,2,42,0.0,241,80,No
jfreechart-1.0.19,org.jfree.chart.fx,ChartViewer,2,10,0.0,158,83,No
jfreechart-1.0.19,org.jfree.chart.fx,ChartViewerSkin,2,0,0.0,59,82,No
jfreechart-1.0.19,org.jfree.chart.fx,FXGraphics2D,0,90,0.0,789,111,No
jfreechart-1.0.19,org.jfree.chart.fx,package-info,0,0,0.0,0,106,No
jfreechart-1.0.19,org.jfree.data.jdbc,JDBCCategoryDataset,0,23,0.0,128,107,No
jfreechart-1.0.19,org.jfree.data.jdbc,JDBCPieDataset,0,17,0.0,94,107,No
jfreechart-1.0.19,org.jfree.data.jdbc,JDBCXYDataset,0,56,0.0,256,112,No
jfreechart-1.0.19,org.jfree.data.gantt,GanttCategoryDataset,0,0,0.0,15,108,No
jfreechart-1.0.19,org.jfree.data.gantt,SlidingGanttCategoryDataset,1,30,0.0,253,113,No
jfreechart-1.0.19,org.jfree.data.gantt,Task,0,8,0.0,78,112,No
jfreechart-1.0.19,org.jfree.data.gantt,TaskSeries,2,8,0.0,64,111,No
jfreechart-1.0.19,org.jfree.data.gantt,TaskSeriesCollection,3,29,0.0,308,116,No
jfreechart-1.0.19,org.jfree.data.gantt,XYTaskDataset,3,18,0.0,181,118,No
jfreechart-1.0.19,org.jfree.data.gantt,SlidingGanttCategoryDatasetTest,5,0,0.0,74,117,No
jfreechart-1.0.19,org.jfree.data.gantt,TaskSeriesCollectionTest,3,0,0.0,408,125,No
jfreechart-1.0.19,org.jfree.data.gantt,TaskSeriesTest,2,0,0.0,51,123,No
jfreechart-1.0.19,org.jfree.data.gantt,TaskTest,1,0,0.0,53,121,No
jfreechart-1.0.19,org.jfree.data.gantt,XYTaskDatasetTest,4,0,0.0,66,120,No
jfreechart-1.0.19,org.jfree.chart.panel,AbstractOverlay,1,5,0.0,26,117,No
jfreechart-1.0.19,org.jfree.chart.panel,CrosshairOverlay,2,63,0.0,362,123,No
jfreechart-1.0.19,org.jfree.chart.panel,Overlay,0,0,0.0,5,120,No
jfreechart-1.0.19,org.jfree.chart.panel,CrosshairOverlayTest,2,0,0.0,31,118,No
jfreechart-1.0.19,org.jfree.chart.editor,ChartEditor,1,0,0.0,3,116,No
jfreechart-1.0.19,org.jfree.chart.editor,ChartEditorFactory,1,0,0.0,3,113,No
jfreechart-1.0.19,org.jfree.chart.editor,ChartEditorManager,4,0,0.0,14,111,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultAxisEditor,2,16,0.0,194,113,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultChartEditor,4,7,0.0,123,113,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultChartEditorFactory,3,0,0.0,8,111,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultColorBarEditor,3,7,0.0,95,111,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultLogAxisEditor,1,7,0.0,73,110,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultNumberAxisEditor,1,7,0.0,85,109,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultPlotEditor,3,58,0.0,361,114,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultPolarPlotEditor,1,6,0.0,96,114,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultTitleEditor,0,13,0.0,130,114,No
jfreechart-1.0.19,org.jfree.chart.editor,DefaultValueAxisEditor,2,20,0.0,202,116,No
jfreechart-1.0.19,org.jfree.chart.editor,PaletteChooserPanel,1,1,0.0,14,114,No
jfreechart-1.0.19,org.jfree.chart.editor,PaletteSample,0,2,0.0,50,113,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,AbstractXYItemRenderer,2,135,0.0,996,127,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,CandlestickRenderer,3,60,0.0,394,132,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,ClusteredXYBarRenderer,3,29,0.0,177,133,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,CyclicXYItemRenderer,3,34,0.0,241,134,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,DefaultXYItemRenderer,2,0,0.0,2,132,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,DeviationRenderer,3,17,0.0,149,132,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,GradientXYBarPainter,2,23,0.0,201,133,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,HighLowRenderer,3,35,0.0,215,135,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,SamplingXYLineRenderer,3,19,0.0,152,135,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYAreaRenderer,5,43,0.0,294,137,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYAreaRenderer2,5,47,0.0,313,140,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYBarRenderer,3,40,0.0,213,141,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StandardXYBarPainter,3,15,0.0,95,140,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StandardXYItemRenderer,4,69,0.0,444,144,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.xy,VectorRenderer,4,32,0.0,189,145,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,WindItemRenderer,3,0,0.0,66,144,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYAreaRenderer,4,49,0.0,352,147,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYAreaRenderer2,5,20,0.0,203,147,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBarPainter,1,0,0.0,7,145,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBarRenderer,5,90,0.0,589,151,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBlockRenderer,3,30,0.0,194,152,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBoxAndWhiskerRenderer,4,57,0.0,395,155,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBubbleRenderer,3,25,0.0,173,155,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYDifferenceRenderer,3,81,0.0,677,161,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYDotRenderer,3,17,0.0,147,161,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYErrorRenderer,3,24,0.0,189,161,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYItemRenderer,1,15,0.0,185,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYItemRendererState,1,0,0.0,31,160,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYLine3DRenderer,1,10,0.0,94,159,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYLineAndShapeRenderer,3,69,0.0,540,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYShapeRenderer,4,36,0.0,243,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYSplineRenderer,3,32,0.0,229,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYStepAreaRenderer,4,42,0.0,270,166,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYStepRenderer,3,17,0.0,138,166,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,YIntervalRenderer,3,10,0.0,112,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,AbstractXYItemRendererTest,4,0,0.0,87,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,CandlestickRendererTest,1,0,0.0,113,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,ClusteredXYBarRendererTest,5,0,0.0,82,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,DeviationRendererTest,1,0,0.0,41,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,GradientXYBarPainterTest,2,0,0.0,42,161,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,HighLowRendererTest,1,0,0.0,79,160,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,RendererXYPackageUtils,9,0,0.0,26,159,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYAreaRenderer2Test,6,0,0.0,80,158,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYAreaRendererTest,4,0,0.0,105,157,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StackedXYBarRendererTest,4,0,0.0,79,156,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StandardXYBarPainterTest,2,0,0.0,30,155,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,StandardXYItemRendererTest,2,0,0.0,138,155,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,VectorRendererTest,1,0,0.0,41,154,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,WindItemRendererTest,1,0,0.0,36,153,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYAreaRenderer2Test,2,0,0.0,90,152,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYAreaRendererTest,1,0,0.0,124,152,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBarRendererTest,4,0,0.0,201,153,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBlockRendererTest,1,0,0.0,101,152,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBoxAndWhiskerRendererTest,1,2,0.0,85,151,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYBubbleRendererTest,1,0,0.0,72,151,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYDifferenceRendererTest,1,16,0.0,96,150,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYDotRendererTest,1,0,0.0,76,150,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYErrorRendererTest,1,0,0.0,88,149,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYLine3DRendererTest,1,0,0.0,54,148,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYLineAndShapeRendererTest,2,0,0.0,177,149,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYShapeRendererTest,1,0,0.0,88,148,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYSplineRendererTest,1,0,0.0,57,147,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYStepAreaRendererTest,3,0,0.0,80,147,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,XYStepRendererTest,1,0,0.0,86,146,No
jfreechart-1.0.19,org.jfree.chart.renderer.xy,YIntervalRendererTest,3,0,0.0,136,146,No
jfreechart-1.0.19,org.jfree.experimental.swt,SWTGraphics2D,1,73,0.0,598,150,No
jfreechart-1.0.19,org.jfree.experimental.swt,SWTPaintCanvas,0,1,0.0,38,149,No
jfreechart-1.0.19,org.jfree.experimental.swt,SWTUtils,1,33,0.0,216,149,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,2,133,0.0,931,155,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,AreaRenderer,3,23,0.0,171,156,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BarPainter,1,0,0.0,7,154,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BarRenderer,5,92,0.0,635,158,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.category,BarRenderer3D,3,35,0.0,436,160,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BoxAndWhiskerRenderer,3,78,0.0,535,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,CategoryItemRenderer,2,15,0.0,164,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,CategoryItemRendererState,1,5,0.0,58,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,CategoryStepRenderer,3,20,0.0,155,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,DefaultCategoryItemRenderer,2,0,0.0,2,161,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GanttRenderer,5,41,0.0,327,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GradientBarPainter,2,22,0.0,192,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GroupedStackedBarRenderer,5,34,0.0,199,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,IntervalBarRenderer,4,13,0.0,103,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LayeredBarRenderer,3,53,0.0,259,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LevelRenderer,3,23,0.0,204,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LineAndShapeRenderer,4,59,0.0,425,165,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.category,LineRenderer3D,3,33,0.0,353,166,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,MinMaxCategoryRenderer,3,26,0.0,236,167,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,ScatterRenderer,4,31,0.0,246,167,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedAreaRenderer,3,42,0.0,285,168,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedBarRenderer,4,36,0.0,195,168,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedBarRenderer3D,5,52,0.0,460,170,Yes
jfreechart-1.0.19,org.jfree.chart.renderer.category,StandardBarPainter,3,15,0.0,95,170,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StatisticalBarRenderer,3,50,0.0,313,171,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StatisticalLineAndShapeRenderer,5,42,0.0,242,171,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,WaterfallBarRenderer,3,32,0.0,232,172,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,AbstractCategoryItemRendererTest,4,0,0.0,214,172,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,AreaRendererTest,1,0,0.0,52,171,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BarRenderer3DTest,2,0,0.0,52,170,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BarRendererTest,3,3,0.0,146,170,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,BoxAndWhiskerRendererTest,1,2,0.0,293,171,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,CategoryStepRendererTest,1,0,0.0,44,170,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,DefaultCategoryItemRendererTest,2,0,0.0,38,169,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GanttRendererTest,1,0,0.0,56,169,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GradientBarPainterTest,2,0,0.0,41,168,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,GroupedStackedBarRendererTest,5,0,0.0,73,167,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,IntervalBarRendererTest,3,0,0.0,69,167,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LayeredBarRendererTest,3,0,0.0,44,166,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LevelRendererTest,1,0,0.0,77,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LineAndShapeRendererTest,1,20,0.0,204,166,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,LineRenderer3DTest,1,13,0.0,124,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,MinMaxCategoryRendererTest,1,0,0.0,59,165,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,ScatterRendererTest,1,5,0.0,108,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedAreaRendererTest,3,0,0.0,58,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedBarRenderer3DTest,5,0,0.0,268,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StackedBarRendererTest,3,0,0.0,59,164,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StandardBarPainterTest,2,0,0.0,30,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StatisticalBarRendererTest,3,0,0.0,123,163,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,StatisticalLineAndShapeRendererTest,3,0,0.0,90,162,No
jfreechart-1.0.19,org.jfree.chart.renderer.category,WaterfallBarRendererTest,3,0,0.0,62,162,No
jfreechart-1.0.19,org.jfree.experimental.chart.swt.demo,SWTBarChartDemo1,0,3,0.0,68,161,No
jfreechart-1.0.19,org.jfree.experimental.chart.swt.demo,SWTMultipleAxisDemo1,0,4,0.0,100,161,No
jfreechart-1.0.19,org.jfree.experimental.chart.swt.demo,SWTPieChartDemo1,0,4,0.0,44,160,No
jfreechart-1.0.19,org.jfree.experimental.chart.swt.demo,SWTTimeSeriesDemo,0,4,0.0,92,160,No
jfreechart-1.0.19,org.jfree.data.xml,CategoryDatasetHandler,3,5,0.0,41,159,No
jfreechart-1.0.19,org.jfree.data.xml,CategorySeriesHandler,4,5,0.0,50,159,No
jfreechart-1.0.19,org.jfree.data.xml,DatasetReader,2,0,0.0,48,158,No
jfreechart-1.0.19,org.jfree.data.xml,DatasetTags,0,0,0.0,5,157,No
jfreechart-1.0.19,org.jfree.data.xml,ItemHandler,6,5,0.0,56,157,No
jfreechart-1.0.19,org.jfree.data.xml,KeyHandler,4,6,0.0,47,156,No
jfreechart-1.0.19,org.jfree.data.xml,PieDatasetHandler,3,4,0.0,38,155,No
jfreechart-1.0.19,org.jfree.data.xml,RootHandler,1,4,0.0,34,155,No
jfreechart-1.0.19,org.jfree.data.xml,ValueHandler,3,7,0.0,54,154,No
jfreechart-1.0.19,org.jfree.chart.block,AbstractBlock,4,19,0.0,236,155,No
jfreechart-1.0.19,org.jfree.chart.block,Arrangement,3,0,0.0,7,154,No
jfreechart-1.0.19,org.jfree.chart.block,Block,2,0,0.0,9,153,No
jfreechart-1.0.19,org.jfree.chart.block,BlockBorder,2,9,0.0,86,153,No
jfreechart-1.0.19,org.jfree.chart.block,BlockContainer,9,13,0.0,107,153,No
jfreechart-1.0.19,org.jfree.chart.block,BlockFrame,2,0,0.0,4,152,No
jfreechart-1.0.19,org.jfree.chart.block,BlockParams,2,0,0.0,29,151,No
jfreechart-1.0.19,org.jfree.chart.block,BlockResult,2,0,0.0,12,150,No
jfreechart-1.0.19,org.jfree.chart.block,BorderArrangement,5,68,0.0,362,152,Yes
