Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
junit4,org.junit.experimental.theories,DataPoint,5,0,0.0,6,6,No
junit4,org.junit.experimental.theories,DataPoints,5,0,0.0,6,6,No
junit4,org.junit.experimental.theories,FromDataPoints,4,2,0.0,6,6,No
junit4,org.junit.experimental.theories,ParameterSignature,0,10,0.0,100,29,No
junit4,org.junit.experimental.theories,ParametersSuppliedBy,3,0,0.0,5,24,No
junit4,org.junit.experimental.theories,ParameterSupplier,7,0,0.0,3,21,No
junit4,org.junit.experimental.theories,PotentialAssignment,0,2,0.0,39,23,No
junit4,org.junit.experimental.theories,Theories,7,1,0.0,4,21,No
junit4,org.junit.experimental.theories,Theory,1,0,0.0,5,19,No
junit4,org.junit.tests.running.classes.parent,ParentRunnerClassLoaderTest,1,5,0.0,62,23,No
junit4,org.junit.tests.running.classes.parent,TestWithClassRule,0,1,0.0,24,23,No
junit4,junit.tests.extensions,ActiveTestTest,0,1,0.0,46,25,No
junit4,junit.tests.extensions,AllTests,3,0,0.0,12,24,No
junit4,junit.tests.extensions,ExtensionTest,0,0,0.0,73,27,No
junit4,junit.tests.extensions,package-info,0,0,0.0,0,26,No
junit4,junit.tests.extensions,RepeatedTestTest,0,0,0.0,44,27,No
junit4,org.junit.internal.requests,ClassRequest,1,1,0.0,30,27,No
junit4,org.junit.internal.requests,FilterRequest,0,0,0.0,20,26,No
junit4,org.junit.internal.requests,MemoizingRequest,0,2,0.0,17,26,No
junit4,org.junit.internal.requests,OrderingRequest,1,0,0.0,0,25,No
junit4,org.junit.internal.requests,package-info,0,0,0.0,0,23,No
junit4,org.junit.internal.requests,SortingRequest,0,0,0.0,14,23,No
junit4,org.junit.tests.running.methods,AllMethodsTests,6,0,0.0,11,22,No
junit4,org.junit.tests.running.methods,AnnotationTest,0,0,0.0,680,50,No
junit4,org.junit.tests.running.methods,ExpectedTest,0,1,0.0,61,50,No
junit4,org.junit.tests.running.methods,InheritedTestTest,0,0,0.0,24,49,No
junit4,org.junit.tests.running.methods,ParameterizedTestMethodTest,1,0,0.0,132,52,No
junit4,org.junit.tests.running.methods,TestMethodTest,0,0,0.0,188,57,No
junit4,org.junit.tests.running.methods,TimeoutTest,0,11,0.0,262,64,No
junit4,org.junit.tests.running.core,AllCoreTests,3,0,0.0,8,62,No
junit4,org.junit.tests.running.core,CommandLineTest,0,0,0.0,52,62,No
junit4,org.junit.tests.running.core,JUnitCoreReturnsCorrectExitCodeTest,0,0,0.0,29,61,No
junit4,org.junit.tests.running.core,SystemExitTest,0,1,0.0,18,60,No
junit4,org.junit.samples.money,MoneyTest,0,1,0.0,150,62,No
junit4,org.junit.samples.money,package-info,0,0,0.0,0,60,No
junit4,org.junit.tests.experimental.theories.runner,AllTheoriesRunnerTests,13,0,0.0,18,59,No
junit4,org.junit.tests.experimental.theories.runner,FailingDataPointMethods,0,0,0.0,98,60,No
junit4,org.junit.tests.experimental.theories.runner,SuccessfulWithDataPointFields,0,2,0.0,148,63,No
junit4,org.junit.tests.experimental.theories.runner,TheoriesPerformanceTest,0,0,0.0,16,61,No
junit4,org.junit.tests.experimental.theories.runner,TypeMatchingBetweenMultiDataPointsMethod,0,0,0.0,36,61,No
junit4,org.junit.tests.experimental.theories.runner,UnsuccessfulWithDataPointFields,0,0,0.0,180,64,No
