Project Name,Package Name,Class Name,ATFD,WMC,TCC,LOC,Avgloc,God Class (Case 5)
jpf-1.0.2,org.java.plugin.tools.mocks,MockDocumentation,0,1,0.0,34,34,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockExtension,1,5,0.0,66,50,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockExtensionPoint,2,15,0.0,127,75,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockIdentity,0,0,0.0,10,59,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockLibrary,1,1,0.0,37,54,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockParameter,1,5,0.0,105,63,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockParameterDefinition,2,3,0.0,72,64,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginAttribute,1,5,0.0,54,63,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginDescriptor,1,18,0.0,176,75,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginElement,1,0,0.0,37,71,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginFragment,1,0,0.0,72,71,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginPrerequisite,1,0,0.0,62,71,No
jpf-1.0.2,org.java.plugin.tools.mocks,MockPluginRegistry,0,12,0.0,135,75,No
jpf-1.0.2,org.java.plugin.registry.xml,BaseHandler,0,3,0.0,51,74,No
jpf-1.0.2,org.java.plugin.registry.xml,DocumentationImpl,1,8,0.0,65,73,No
jpf-1.0.2,org.java.plugin.registry.xml,ExtensionImpl,9,91,0.0,512,100,Yes
jpf-1.0.2,org.java.plugin.registry.xml,ExtensionPointImpl,8,77,0.0,471,122,Yes
jpf-1.0.2,org.java.plugin.registry.xml,IdentityImpl,1,8,0.0,33,117,No
jpf-1.0.2,org.java.plugin.registry.xml,IntegrityChecker,6,19,0.0,188,121,No
jpf-1.0.2,org.java.plugin.registry.xml,LibraryImpl,5,10,0.0,53,118,No
jpf-1.0.2,org.java.plugin.registry.xml,ManifestHandler,2,121,0.0,334,128,No
