Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
org.codelibs.nekohtml.parsers,DOMFragmentParser,37,24,61,Yes
org.codelibs.nekohtml.filters,DefaultFilter,3,31,34,Yes
org.codelibs.nekohtml.filters,ElementRemover,15,21,36,Yes
org.codelibs.nekohtml.filters,NamespaceBinder,55,25,80,Yes
org.codelibs.nekohtml.filters,Purifier,36,21,57,Yes
org.codelibs.nekohtml.filters,Writer,31,18,49,Yes
org.codelibs.nekohtml,HTMLConfiguration,46,26,72,Yes
org.codelibs.nekohtml,HTMLElements,165,18,183,Yes
org.codelibs.nekohtml,HTMLEntities,15,6,21,Yes
org.codelibs.nekohtml,HTMLScanner,280,100,380,Yes
org.codelibs.nekohtml,HTMLTagBalancer,117,65,182,Yes
org.codelibs.nekohtml,ObjectFactory,26,3,29,Yes
org.codelibs.nekohtml,Writer,30,11,41,Yes
org.codelibs.nekohtml.parsers,DOMParser,3,3,6,No
org.codelibs.nekohtml.parsers,SAXParser,0,1,1,No
org.codelibs.nekohtml.filters,Identity,3,4,7,No
org.codelibs.nekohtml.filters,WriterTest,3,0,3,No
org.codelibs.nekohtml.xercesbridge,XercesBridge,3,6,9,No
org.codelibs.nekohtml.xercesbridge,XercesBridge_2_2,0,2,2,No
org.codelibs.nekohtml.xercesbridge,XercesBridge_2_3,0,1,1,No
org.codelibs.nekohtml,HTMLAugmentations,3,7,10,No
org.codelibs.nekohtml,HTMLComponent,0,0,0,No
org.codelibs.nekohtml,HTMLErrorReporter,0,0,0,No
org.codelibs.nekohtml,HTMLEventInfo,0,8,8,No
org.codelibs.nekohtml,HTMLTagBalancingListener,0,0,0,No
org.codelibs.nekohtml,LostText,4,4,8,No
org.codelibs.nekohtml,SecuritySupport,5,8,13,No
org.codelibs.nekohtml,CanonicalTest,11,2,13,No
org.codelibs.nekohtml,DOMFragmentParserTest,11,1,12,No
org.codelibs.nekohtml,FragmentContextStackTest,6,1,7,No
org.codelibs.nekohtml,HeadNamespaceBug,1,3,4,No
org.codelibs.nekohtml,HTMLErrorHandler,0,1,1,No
org.codelibs.nekohtml,HTMLScannerTest,8,7,15,No
org.codelibs.nekohtml,HTMLTagBalancingListenerTest,8,2,10,No
org.codelibs.nekohtml,LocatorEncodingTest,2,2,4,No
org.codelibs.nekohtml,UTF8BOMSkipper,3,2,5,No
sample,HTMLSAXParser,0,1,1,No
sample,Minimal,0,2,2,No
sample,RemoveElements,0,0,0,No
sample,Script,7,1,8,No
sample,TestHTMLDOM,0,1,1,No
sample,TestHTMLDOMFragment,0,1,1,No
