Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
jparse,CompiledMethod,17,12,29,No
jparse,ConstrAST,19,12,31,No
jparse,SymbolTable,17,11,28,No
jparse.expr,BitwiseAST,13,9,22,No
jparse.expr,IdentifierAST,12,11,23,No
jparse.expr,VarAST,9,12,21,No
jparse,CompileContext,6,6,12,No
jparse,CompiledConstructor,11,9,20,No
jparse,Constructor,0,0,0,No
jparse,FileAST,13,4,17,No
jparse,HasExceptions,0,0,0,No
jparse,JavaAST,6,8,14,No
jparse,JavaLexer,5,9,14,No
jparse,JavaTokenTypes,0,0,0,No
jparse,Method,0,0,0,No
jparse,ModifierAST,0,16,16,No
jparse,ParameterAST,2,5,7,No
jparse,TypeAST,8,11,19,No
jparse,VarList,11,8,19,No
test,JavaCopy,2,0,2,No
test,JavaPrinter,2,2,4,No
test,JavaPrinterTokenTypes,0,0,0,No
test,JavaType,2,0,2,No
test,JavaTyper,6,5,11,No
test,JavaTyperTokenTypes,0,0,0,No
jparse.stmt,AssertAST,1,7,8,No
jparse.stmt,BreakAST,2,6,8,No
jparse.stmt,CaseGroupAST,8,7,15,No
jparse.stmt,CatchAST,6,8,14,No
jparse.stmt,ClassAST,1,6,7,No
jparse.stmt,CompoundAST,7,6,13,No
jparse.stmt,ContinueAST,2,6,8,No
jparse.stmt,DeclarationAST,4,7,11,No
jparse.stmt,DoWhileAST,1,7,8,No
jparse.stmt,EmptyAST,0,4,4,No
jparse.stmt,ExpressionAST,0,6,6,No
jparse.stmt,ForAST,6,9,15,No
jparse.stmt,IfElseAST,4,8,12,No
jparse.stmt,LabelAST,1,6,7,No
jparse.stmt,ReturnAST,1,6,7,No
jparse.stmt,StatementAST,4,5,9,No
jparse.stmt,SwitchAST,6,7,13,No
jparse.stmt,SynchronizedAST,1,7,8,No
jparse.stmt,ThrowAST,0,6,6,No
jparse.stmt,TryAST,6,8,14,No
jparse.stmt,WhileAST,1,7,8,No
jparse.expr,ArithmeticAST,11,8,19,No
jparse.expr,ArrayInitAST,9,7,16,No
jparse.expr,AssignAST,5,8,13,No
jparse.expr,BooleanLiteralAST,0,5,5,No
jparse.expr,CharLiteralAST,0,5,5,No
jparse.expr,ConditionalAST,9,9,18,No
jparse.expr,ExpressionAST,5,5,10,No
jparse.expr,FloatLiteralAST,3,6,9,No
jparse.expr,IndexAST,2,8,10,No
jparse.expr,InitializerAST,1,7,8,No
jparse.expr,ListAST,6,9,15,No
jparse.expr,MethodCallAST,8,12,20,No
jparse.expr,NewAST,11,9,20,No
jparse.expr,NullLiteralAST,0,5,5,No
jparse.expr,NumLiteralAST,4,6,10,No
jparse.expr,ParenthesizedAST,1,7,8,No
jparse.expr,ShiftAST,11,8,19,No
jparse.expr,StringLiteralAST,0,5,5,No
jparse.expr,ThisLiteralAST,0,5,5,No
jparse.expr,TypeAST,0,5,5,No
jparse.expr,TypecastAST,5,9,14,No
jparse.expr,UnaryArithAST,6,7,13,No
jparse,CompiledType,37,19,56,Yes
jparse,JavaParser,75,73,148,Yes
jparse,LineReader,19,2,21,Yes
jparse,MethAST,29,17,46,Yes
jparse,SourceType,33,21,54,Yes
jparse,Type,50,12,62,Yes
jparse.expr,BooleanAST,13,10,23,Yes
